,a4average,Alpha,Darkmega07,Nahmoh,osiahene,Whoop Whoop,Soup,ShironaNep,DemonCorsair,david,ChinaTV,Passbyword,ShinyTseul,Cupcake,Uvu,enduringray,Eurasia_M,GDarks,Soren,WIMDY,SoniSwitch,H4zelWhite,Maplelink64,Zerobillion,WeenieWhistle,Nonstopmop,Master S1X,Josue,BitMuffin,Salad,Not3rdPerson,playerzero,Neryth,Null,Rockin,Beef,Rocku,Shadow,Makuto,Symes,KayThree,Thiago,Mr.President,ඞorman ZZ,HonorNite,mars,Alrysc,hoodies
a4average,,2,,,1,2,,1,2,2,1,2,2,2,2,2,2,2,2,,2,2,2,0,2,1,2,1,2,2,1,1,0,2,1,2,2,0,2,0,2,2,2,2,1,1,2,2
Alpha,0,,,,0,2,,0,0,2,0,0,2,0,2,0,2,1,0,,2,2,2,0,1,0,0,0,0,1,1,0,0,2,1,,1,0,2,1,1,0,2,1,0,1,2,0
Darkmega07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nahmoh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
osiahene,2,2,,,,0,,0,2,,1,0,2,,0,0,2,,0,,2,2,2,1,,,2,0,,0,,0,0,2,,2,0,2,2,0,,1,,,0,0,2,
Whoop Whoop,1,1,,,2,,,0,2,,2,0,,,,2,,,,,2,,,,,,2,,,0,0,1,0,,2,,1,,2,0,,2,,,0,,2,
Soup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShironaNep,2,2,,,2,2,,,2,1,0,2,2,2,2,2,2,2,0,,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,,2,2,2,2,2,0,2,2,2,0,2,2
DemonCorsair,0,2,,,1,1,,1,,2,0,0,2,2,2,2,2,0,2,,2,2,2,1,0,0,2,0,2,0,2,0,0,2,2,2,2,2,1,2,1,1,0,2,0,1,2,1
david,0,1,,,,,,2,0,,1,0,2,,,1,,,1,,,,,,,0,,,,2,,0,0,,,,1,2,2,0,,0,,,0,0,1,
ChinaTV,2,2,,,2,1,,2,2,2,,0,2,2,2,1,0,2,2,,2,2,2,2,2,1,1,0,2,2,2,0,0,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
Passbyword,0,2,,,2,2,,1,2,2,2,,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
