,,,,,,,CHALLONGE BRACKET
Entrant #,,Discord,Name,Version,Setup,,Bracket
1,⭐,aht#3324,a4average,Falzar,a4average,,
2,⭐,TheAlphaPlayer#4201,Alpha,Gregar,Alpha,,PLAYER SCHEDULES
3,,Darkmega07#2237,Darkmega07,Falzar,Darkmega07,,Link
4,,Nahmoh#5528,Nahmoh,Gregar,Nahmoh,,
5,,Yaw#9721,osiahene,Gregar,osiahene,,START DATE
6,,Whoop Whoop#4098,Whoop Whoop,Gregar,Whoop Whoop,,Mon Mar 20 2023 08:00:00 GMT+0100 (Central European Standard Time)
7,,Soup#7517,Soup,Gregar,Soup,,
8,⭐,ShironaNep#3074,ShironaNep,Gregar,ShironaNep,,END DATE
9,,Brian#4426,DemonCorsair,Gregar,DemonCorsair,,Mon Apr 10 2023 09:00:00 GMT+0200 (Central European Summer Time)
10,,davidvvv#3288,david,Falzar,david,,
11,⭐,ChinaTV#4720,ChinaTV,Falzar,ChinaTV,,AND REMEMBER:
12,,Passbyword#7729,Passbyword,Falzar,Passbyword,,CellImage
13,⭐,ShinyTseul#0797,ShinyTseul,Gregar,ShinyTseul,,
14,⭐,Cupcake#6222,Cupcake,Falzar,Cupcake,,
15,,Firefie#4590,Uvu,Falzar,Uvu,,
16,,enduringray#1144,enduringray,Gregar,enduringray,,
17,,Eurasia_M#9782,Eurasia_M,Falzar,Eurasia_M,,
18,,GrowingDarkness#7486,GDarks,Falzar,GDarks,,
19,,Soren#0229,Soren,Falzar,Soren,,
20,,TheDooWaddle#4914,WIMDY,Falzar,WIMDY,,
21,,#SoniSwitch5403,SoniSwitch,Gregar,SoniSwitch,,
22,,H4zelWhite#0110,H4zelWhite,Falzar,H4zelWhite,,
23,⭐,Maplelink64#4216,Maplelink64,Gregar,Maplelink64,,
24,,Zerobillion#7425,Zerobillion,Falzar,Zerobillion,,
25,,WeenieWhistle#2551,WeenieWhistle,Gregar,WeenieWhistle,,
26,,NONSTOPMOP#1668,Nonstopmop,Gregar,Nonstopmop,,
27,,M_S1X#7809,Master S1X,Gregar,Master S1X,,
28,,jojosue#9988,Josue,Falzar,Josue,,
29,⭐,Ayo#1260,BitMuffin,Falzar,BitMuffin,,
30,⭐,Salad#7884,Salad,Falzar,Salad,,
31,,Not3rdPerson#7906,Not3rdPerson,Gregar,Not3rdPerson,,
32,⭐,playerzero#2208,playerzero,Falzar,playerzero,,
33,⭐,Neryth#3411,Neryth,Falzar,Neryth,,
34,⭐,Nachito#3316,Null,Gregar,Null,,
35,,ProjectPlayer015#4748,Rockin,Falzar,Rockin,,
36,,Broonster#1544,Beef,Gregar,Beef,,
37,⭐,Rocku#1556,Rocku,Falzar,Rocku,,
38,⭐,trylo#6612,Shadow,Falzar,Shadow,,
39,,Makuto66 #4633,Makuto,Falzar,Makuto,,
40,,Symes#1970,Symes,Gregar,Symes,,
41,,Renji#4619,KayThree,Gregar,KayThree,,
42,⭐,Thiago#6352,Thiago,Falzar,Thiago,,
43,,Abdulai Sallah#2015,Mr.President,Falzar,Mr.President,,
44,,Dorman_777#2452,ඞorman ZZ,Falzar,ඞorman ZZ,,
45,⭐,HonorNite#3819,HonorNite,Gregar,,,
46,,mars#9327,mars,Falzar,mars,,
47,⭐,Alrysc#7506,Alrysc,Gregar,Alrysc,,
48,,hoodies#4444,hoodies,Falzar,hoodies,,
