,,,,,
,,,,,
121: 2020 CYCLE #1 - playerzero,,,,NAVICUST,
#,Chip Name,Code,Reg/Tag,Program Name,Link
1,BblStar3,G,,HP+400,image
2,MachGun2,G,,GigFldr1,
1,WindRack,*,,GigFldr1,
1,NeoVari,N,,SuprArmr,
1,WoodDrgn,G,,FstBarr,
2,Recov300,J,,UnderSht,
5,AreaGrab,*,,BugStop,
1,FullCust,*,[REG],ChargMAX,
3,Invisibl,*,,Attack+1,
1,LifeAur,U,,,
3,AntiDmg,*,,,
1,Uninstll,G,,,
1,GrndManSP,G,,CellImage,
1,EraseMan,*,,,
1,JudgeMan,*,,,
1,ElmntMan,*,,,
1,ElmntMnSP,E,,,
1,BassAnly,F,,,
1,MetrKnuk,N,,,
1,HubBatc,J,,,
