,Neryth,,,enduring ray,,,BitMuffin,,,Thiago,,,StarEnforcer,,,SoulXCross,,,Symes,,,Shadow,,,playerzero,,,Salad,,,luckytyphlosion,,,#REF!,,,,,,,,
Neryth,,,,2,-,0,2,-,0,2,-,0,2,-,0,2,-,1,2,-,1,1,-,2,2,-,0,2,-,1,0,-,2,2,-,0,2,-,0,0,-,2
enduring ray,,,,,,,1,-,2,2,-,0,2,-,1,,-,,1,-,2,1,-,2,2,-,0,,-,,0,-,2,,-,,,-,,0,-,2
BitMuffin,,,,,,,,,,2,-,1,2,-,1,2,-,0,2,-,0,0,-,2,2,-,1,2,-,1,0,-,2,2,-,0,2,-,0,0,-,2
Thiago,,,,,,,,,,,,,1,-,2,0,-,2,0,-,2,0,-,2,0,-,2,,-,,0,-,2,,-,,,-,,0,-,2
StarEnforcer,,,,,,,,,,,,,,,,,-,,1,-,2,0,-,2,,-,,2,-,1,0,-,2,,-,,,-,,,-,
SoulXCross,,,,,,,,,,,,,,,,,,,2,-,1,2,-,1,1,-,2,,-,,0,-,2,,-,,2,-,1,,-,
Symes,,,,,,,,,,,,,,,,,,,,,,1,-,2,2,-,1,2,-,0,0,-,2,,-,,,-,,2,-,0
Shadow,,,,,,,,,,,,,,,,,,,,,,,,,2,-,0,2,-,0,1,-,2,2,-,1,2,-,0,2,-,0
playerzero,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-,1,1,-,2,2,-,0,,-,,0,-,2
Salad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-,2,0,-,2,,-,,,-,
luckytyphlosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-,0,2,-,0,,-,
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,0,-,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,
