Salad,,,,,,,
Salad#7884,,,,Falzar,,,
FOLDER,,,,NAVICUST,,MOD CARDS,
#,Chip Name,Code,Reg/Tag,Program Name,Image Link,Name,MB
4,AirHocky,L,,Custom1,image,Needler,10
2,WindRack,*,,Custom2,HP+500,SearchMan,37
2,ElecDrgn,L,,UnderSht,HP+400,Slimey,12
1,AreaGrab,*,[TAG],Shield,AttckMAX,Totem,13
1,GrabRvng,Z,[TAG],,Charge+1,Satella,8
1,FstGauge,*,,,Charge+1,,
1,FullCust,*,,,,,
1,BugFix,*,,,,,
3,Invisibl,*,,,,,
1,LifeAur,U,,:detective:,,,
1,MagCoil,*,,:baby:,,,
1,AntiNavi,*,,,,,
3,AntiDmg,*,,,,,
1,WhiCapsl,*,,CellImage,,,
1,Uninstll,L,,,,,
1,SpoutMnSP,A,,,,,
1,EraseMan,*,,,,,
1,JudgeMan,*,,,,,
1,ElmntMan,*,,,,,
1,DblBeast,W,,,,,
1,HubBatc,J,,,,,
