,,,,,
,,,,,
7: 2019 CYCLE #1 - Rose,,,,NAVICUST,
#,Chip Name,Code,Reg/Tag,Program Name,Link
1,ColForce,Q,,HP+500,image
1,ElmntMan,*,,AttckMAX,
1,JudgeMan,*,,ChargMAX,
1,BlastMan,*,,BugStop,
1,GrndMan,*,[REG],SuprArmr,
1,EraseMan,*,,Custom1,
3,AntiDmg,*,,UnderSht,
1,LifeAur,U,,AirShoes,
1,Barr200,W,,Rush,
1,Barr100,O,[TAG],CellImage,
3,Invisibl,*,[TAG],,
1,SloGauge,*,,,
1,Geddon,*,,,
1,GrabRvng,Q,,,
4,AreaGrab,*,,,
2,Recov300,O,,,
3,Magnum,W,,,
2,WindRack,*,,,
1,GunDelS3,Q,,,
