,,,,,
,,,,,
32: 2019 CYCLE #3 - Salad,,,,NAVICUST,
#,Chip Name,Code,Reg/Tag,Program Name,Link
2,MachGun2,G,,ChpShufl,image
1,PoisSeed,*,,SuprArmr,
1,WindRack,*,,UnderSht,
1,WoodDrgn,G,,Custom1,
2,Recov300,J,,FlotShoe,
5,AreaGrab,*,[TAG],ChargMAX,
1,GrabRvng,Z,[REG],HP+500,
1,Snctuary,Z,,Attack+1,
1,SloGauge,*,[TAG],,
1,FullCust,*,,,
1,BugFix,*,,,
2,Invisibl,*,,,
1,LifeAur,U,,,
3,AntiDmg,*,,CellImage,
1,Uninstll,G,,,
1,EraseMan,*,,,
1,TenguMan,*,,,
1,GrndManSP,G,,,
1,JudgeMan,*,,,
1,ElmntMan,*,,,
1,BugRSword,V,,,
