Uvu,,,,,,,
Uvu ♤#4590,,,,Falzar,,,
FOLDER,,,,NAVICUST,,MOD CARDS,
#,Chip Name,Code,Reg/Tag,Program Name,Image Link,Name,MB
1,TankCan2,L,[REG],Custom1,image,Numbers,17
1,IceSeed,*,,Rush,HP+400,NightMare,5
1,WindRack,*,,Custom1,HP+400,Totem,13
1,FireHit3,A,,SuprArmr,ChargMAX,SearchMan,37
1,FireHit3,B,,FlotShoe,,Satella,8
1,FireHit3,C,,UnderSht,,,
1,Uninstll,L,,BugStop,,,
3,Magnum,L,,CellImage,,,
3,AreaGrab,*,[TAG],,,,
1,GoingRd,*,[TAG],,,,
1,MachGun1,*,,,,,
2,Invisibl,*,,,,,
1,ElemTrap,*,,,,,
2,AntiDmg,*,,,,,
1,LifeAur,U,,,,,
1,SpoutMnSP,A,,,,,
1,EraseMan,*,,,,,
1,BlastMnSP,B,,,,,
1,JudgeMan,*,,,,,
1,ElmntMan,*,,,,,
1,CountSP,H,,,,,
1,DblBeast,W,,,,,
1,HubBatc,J,,,,,
1,Falzar,X,,,,,
