Symes,,,,,,,
Symes#9999,,,,Falzar,,,
FOLDER,,,,NAVICUST,,MOD CARDS,
#,Chip Name,Code,Reg/Tag,Program Name,Image Link,Name,MB
2,BblStar3,R,,BugStop,image,Jelly,13
1,MachGun1,*,,Beat,HP+400,Numbers,17
1,WindRack,*,,Custom1,HP+400,Satella,8
2,HeatDrgn,R,,Shield,HP+400,Needler,10
2,Recov300,J,,,,Walla,12
4,AreaGrab,*,,,,NightMare,5
2,SloGauge,*,,,,ScareCrow,14
3,Invisibl,*,,CellImage,,,
1,LifeAur,U,,,,,
3,AntiDmg,*,,,,,
1,Uninstll,R,,,,,
1,Roll3,R,,,,,
1,SpoutMnSP,A,,,,,
1,TmhkManSP,T,,,,,
1,JudgeMan,*,,,,,
1,ElmntMan,*,,,,,
1,DblBeast,W,,,,,
1,HubBatc,J,,,,,
1,BgDthThd,V,,,,,
