playerzero,,,,,,,
playerzero#2208,,,,Gregar,,,
FOLDER,,,,NAVICUST,,MOD CARDS,
#,Chip Name,Code,Reg/Tag,Program Name,Image Link,Name,MB
2,BblStar3,G,,SuprArmr,image,PlanetMan,40
1,RskyHny1,G,,Custom1,AttckMAX,ScareCrow,14
2,Static,G,[TAG][TAG],Custom1,ChargMAX,Totem,13
2,MachGun2,G,,Shield,HP+400,Satella,8
1,HeatDrgn,G,,UnderSht,,NightMare,5
2,WoodDrgn,G,,BugStop,,,
2,AreaGrab,*,,Beat,,,
1,GrabRvng,Z,,,,,
1,Snctuary,Z,,,,,
3,Invisibl,*,,,,,
1,LifeAur,U,,,,,
3,AntiDmg,*,,,,,
1,Uninstll,G,,,,,
1,GunDelEX,G,,CellImage,,,
1,EraseMan,*,,,,,
1,GrndMan,*,[REG],,,,
1,GrndManSP,G,,,,,
1,JudgeMan,*,,,,,
1,ElmntMan,*,,,,,
1,DblBeast,W,,,,,
1,Gregar,X,,,,,
