oOSpiderManOo,,,,,,,
SoulXCross#5658,,,,Falzar,,,
FOLDER,,,,NAVICUST,,MOD CARDS,
#,Chip Name,Code,Reg/Tag,Program Name,Image Link,Name,MB
1,Falzar,X,,SuprArmr,image,Momogra,6
1,HubBatc,J,,FstBarr,HP+400,Totem,13
1,DblBeast,W,,Rush,HP+400,Numbers,17
1,ElmntMan,*,,UnderSht,ChargMAX,LarkMan,36
1,JudgeMnSP,J,,Custom1,AttckMAX,NightMare,5
1,JudgeMan,*,,BugStop,,,
1,EraseMan,*,,,,,
1,SpoutMnSP,A,,,,,
1,Roll3,R,,,,,
1,GunDelEX,G,,,,,
1,Uninstll,G,,,,,
1,Atk+30,*,,,,,
1,LifeAur,U,,,,,
3,Invisibl,*,,,,,
3,AntiDmg,*,,CellImage,,,
2,WoodDrgn,G,,,,,
2,HeatDrgn,G,,,,,
1,Snctuary,Z,,,,,
1,GrabRvng,Z,,,,,
2,WindRack,*,,,,,
1,MachGun1,*,,,,,
2,BblStar3,G,[REG],,,,
