,,,,,,CHALLONGE BRACKET
Entrant #,Discord,Name,Version,Setup,,Bracket
1,Ryu D#6017,Ryu D,Gregar,Ryu D,,
2,Uvu ♤#4590,Uvu,Falzar,Uvu,,PLAYER SCHEDULES
3,M-Den#9470,Barney,Gregar,Barney,,Link
4,Symes#9999,Symes,Falzar,Symes,,
5,Desmond.EXE#1161,desmond (...),Gregar,desmond (...),,START DATE
6,enduring ray#1144,enduring ray,Gregar,enduring ray,,Mon Nov 30 2020 09:00:00 GMT+0100 (Central European Standard Time)
7,pppablo#6818,pppablo,Gregar,pppablo,,
8,playerzero#2208,playerzero,Gregar,playerzero,,END DATE
9,SoulXCross#5658,oOSpiderManOo,Falzar,oOSpiderManOo,,Mon Dec 14 2020 09:00:00 GMT+0100 (Central European Standard Time)
10,Salad#7884,Salad,Falzar,Salad,,
11,Neryth#3411,Neryth,Falzar,Neryth,,AND REMEMBER:
,,,,,,CellImage
