Nonstopmop,,,,,,,
NONSTOPMOP#1668,,,,Gregar,,,
FOLDER,,,,NAVICUST,,MOD CARDS,
#,Chip Name,Code,Reg/Tag,Program Name,Image Link,Name,MB
1,Gregar,X,,SuprArmr,Link to URL,LarkMan,36
1,DeltaRay,Z,,AntiDmg,HP+400,Numbers,17
1,DblBeast,W,,UnderSht,HP+400,Shrubby,6
1,ElmntMan,*,[REG],Custom1,Attack+1,Totem,13
1,BlastMnSP,B,,BugStop,Speed+1,NightMare,5
1,JudgeMan,*,,Rush,ChargMAX,,
1,ProtoMnSP,B,,,,,
1,EraseMan,*,,,,,
1,BblWrap,Z,,,,,
2,Barr100,H,,,,,
3,AntiDmg,*,,,,,
1,LifeAur,U,,,,,
1,Barr200,W,,,,,
3,Invisibl,*,,CellImage,,,
1,FullCust,*,,,,,
2,FstGauge,*,,,,,
2,GrabBnsh,B,[TAG],,,,
3,WindRack,*,[TAG],,,,
1,HolyPanl,*,,,,,
1,Snctuary,Z,,,,,
1,TenguMan,*,,,,,
