Symes,,,,,,,
Symes#9999,,,,Falzar,,,
FOLDER,,,,NAVICUST,,MOD CARDS,
#,Chip Name,Code,Reg/Tag,Program Name,Image Link,Name,MB
1,Static,G,[TAG],Custom2,Link to URL,Bomboy,14
1,BusterUp,*,[TAG],SuprArmr,HP+400,Miney,12
1,MachGun1,*,,FstBarr,SpeedMAX,MagTect,15
1,LifeAur,U,,Rush,AttckMAX,Slimey,12
1,Barr200,W,,,HP+400,Jelly,13
1,BugFix,*,,,,Totem,13
1,WoodDrgn,G,,,,,
1,Uninstll,G,,,,,
1,AreaGrab,*,,,,,
1,Geddon,*,,,,,
2,SloGauge,*,,,,,
1,FullCust,*,[REG],CellImage,,,
2,Recov300,J,,,,,
3,Invisibl,*,,,,,
1,HeatDrgn,G,,,,,
1,WindRack,*,,,,,
3,AntiDmg,*,,,,,
1,GrndManSP,G,,,,,
1,EraseMan,*,,,,,
1,JudgeMan,*,,,,,
1,JudgeMnSP,J,,,,,
1,ElmntMan,*,,,,,
1,DblBeast,W,,,,,
1,HubBatc,J,,,,,
