WeenieWhistle,,,,,,,
WeenieWhistle#2551,,,,Gregar,,,
FOLDER,,,,NAVICUST,,MOD CARDS,
#,Chip Name,Code,Reg/Tag,Program Name,Image Link,Name,MB
1,WoodDrgn,G,,SuprArmr,Link to URL,Dark MegaMan,80
1,Uninstll,G,,Custom1,HP+500,,
1,MachGun1,*,,UnderSht,HP+400,,
1,LifeAur,U,,Rush,ChargMAX,,
1,WindRack,*,,FlotShoe,Attack+1,,
2,Recov300,J,,BugStop,,,
1,DblBeast,W,,,,,
1,Gregar,X,,,,,
1,GrndManSP,G,,,,,
1,GrabRvng,Z,[TAG],,,,
1,Barr200,W,,,,,
2,PanlGrab,*,,,,,
5,AreaGrab,*,[TAG],CellImage,,,
1,Fanfare,*,,,,,
2,SloGauge,*,[REG],,,,
3,Invisibl,*,,,,,
2,AntiDmg,*,,,,,
1,EraseMan,*,,,,,
1,JudgeMan,*,,,,,
1,ElmntMan,*,,,,,
