HonorNite,,,,,,,
HonorNite#3819,,,,Falzar,,,
FOLDER,,,,NAVICUST,,MOD CARDS,
#,Chip Name,Code,Reg/Tag,Program Name,Image Link,Name,MB
1,FullCust,*,[REG],UnderSht,Link to URL,ColdMan,34
1,BugFix,*,,SuprArmr,AttckMAX,Twisty & Remobit,9
3,BusterUp,*,[TAG][TAG],Custom1,ChargMAX,Miney,12
1,WindRack,*,,Custom2,SpeedMAX,HoneyBomber,12
2,SloGauge,*,,,HP+400,Totem,13
2,HeatDrgn,R,,,HP+400,,
1,Uninstll,R,,,,,
1,Snctuary,Z,,,,,
1,GrabRvng,Z,,,,,
3,AntiDmg,*,,,,,
1,Barr200,W,,,,,
1,LifeAur,U,,,,,
3,Invisibl,*,,,,,
2,Recov300,J,,CellImage,,,
1,Roll3,R,,,,,
1,DblBeast,W,,,,,
1,EraseMan,*,,,,,
1,ElmntMan,*,,,,,
1,JudgeMan,*,,,,,
1,JudgeMnSP,J,,,,,
1,HubBatc,J,,,,,
