Alrysc,,,,,,,
Alrysc#7506,,,,Gregar,,,
FOLDER,,,,NAVICUST,,MOD CARDS,
#,Chip Name,Code,Reg/Tag,Program Name,Image Link,Name,MB
2,WindRack,*,,BugStop,Link to URL,Momogra,6
2,ColArmy,*,,Custom2,AttckMAX,Numbers,17
2,Lance,*,,Shield,HP+100,Bomboy,14
2,RockCube,*,[REG],Tango,SpeedMAX,NightMare,5
4,AreaGrab,*,,UnderSht,,Heady,20
1,Barr200,U,,SuprArmr,,ColdBear,18
3,Invisibl,*,,,,,
1,SloGauge,*,,CellImage,,,
1,LifeAur,U,,,,,
3,AntiDmg,*,,,,,
1,GrabRvng,Q,,,,,
1,EraseMnSP,K,,,,,
1,JudgeMan,*,,,,,
1,ElmntMan,*,,,,,
1,TenguMnSP,T,,,,,
1,DblBeast,W,,,,,
1,ColonelSP,C,,,,,
1,ColForce,Q,,,,,
1,Gregar,X,,,,,
