Master S1X,,,,,,,
MasteRioniX.S1X#7335,,,,Falzar,,,
FOLDER,,,,NAVICUST,,MOD CARDS,
#,Chip Name,Code,Reg/Tag,Program Name,Image Link,Name,MB
1,BblStar3,G,,SuprArmr,https://media.discordapp.net/attachments/871393514506817577/912261427010605096/unknown.png,Numbers,17
1,Static,G,[TAG],Rush,HP+500,Gunner,11
1,AirSpin1,G,[TAG],AntiDmg,HP+200,Satella,8
1,Uninstll,G,,Poem,HP+200,Bomboy,14
1,GrndManSP,G,,,ChargeMax,Walla,12
1,Recov300,J,,,,Twins,15
1,JudgeMnSP,J,,,,,
1,HubBatc,J,,,,,
1,MetrKnuk,N,,,,,
1,LifeAur,U,,,,,
1,SuprVulc,V,,,,,
1,Barr200,W,,,,,
1,DblBeast,W,,,,,
1,GrabRvng,Z,,,,,
4,AreaGrab,*,,,,,
1,HolyPanl,*,[REG],,,,
1,FullCust,*,,,,,
2,Invisibl,*,,CellImage,,,
1,AntiNavi,*,,,,,
2,AntiDmg,*,,,,,
1,WhiCapsl,*,,,,,
1,Atk+30,*,,,,,
1,Roll3,R,,,,,
1,EraseMan,*,,,,,
1,ElmntMan,*,,,,,
