ElKiras,,,,,,,
PachecoElSublime#3818,,,,Gregar,,,
FOLDER,,,,NAVICUST,,MOD CARDS,
#,Chip Name,Code,Reg/Tag,Program Name,Image Link,Name,MB
1,BugFix,*,,Custom1,https://media.discordapp.net/attachments/738056909818429552/912351364955381810/Navicust.png,Numbers,17
2,BblStar3,R,,UnderSht,HP+500,Totem,13
2,DolThdr3,R,,SuprArmr,HP+400,Flashy,11
1,Meteors,R,,,HP+300,SearchMan,37
2,WindRack,*,[REG][TAG],,HP+300,,
1,HeatDrgn,R,,,ChargMAX,,
1,Uninstll,R,,,,,
1,DblBeast,W,,,,,
3,AreaGrab,*,[TAG],,,,
1,Gregar,X,,,,,
2,AntiDmg,*,,,,,
1,GrabBnsh,B,,,,,
2,Invisibl,*,,,,,
1,LifeAur,U,,,,,
1,Atk+30,*,,,,,
1,GrndManSP,G,,CellImage,,,
1,JudgeMan,*,,,,,
1,EraseMan,*,,,,,
1,BlastMnSP,B,,,,,
1,ElmntMan,*,,,,,
1,ElmntMnSP,E,,,,,
1,GunDelS3,Q,,,,,
1,ColForce,Q,,,,,
