Uvu,,,,,,,
Uvu ♤#4590,,,,Falzar,,,
FOLDER,,,,NAVICUST,,MOD CARDS,
#,Chip Name,Code,Reg/Tag,Program Name,Image Link,Name,MB
1,TankCan3,B,[REG],SuprArmr,Link to URL,Django,52
1,FireBrn3,D,,Custom1,HP+500,Satella,8
3,RskyHny3,D,,FlotShoe,HP+400,Totem,13
2,MachGun1,*,,Rush,Charge+1,NightMare,5
2,WindRack,*,,Beat,Charge+1,,
1,GolmHit2,D,,BugStop,,,
2,AreaGrab,*,,,,,
3,Invisibl,*,,,,,
1,LifeAur,U,,,,,
1,ElemTrap,*,,,,,
1,AntiNavi,*,,,,,
3,AntiDmg,*,,,,,
1,WhiCapsl,*,,,,,
1,Uninstll,L,,CellImage,,,
1,EraseMan,*,,,,,
1,JudgeMan,*,,,,,
1,ElmntMan,*,,,,,
1,Django,*,,,,,
1,Django2,D,,,,,
1,Django3,D,,,,,
1,Falzar,X,,,,,
