Chocola,,,,,,,
Chocola#7379,,,,Gregar,,,
FOLDER,,,,NAVICUST,,MOD CARDS,
#,Chip Name,Code,Reg/Tag,Program Name,Image Link,Name,MB
2,Static,G,,AntiDmg,Link to URL,Numbers,17
1,Windrack,*,,UnderSht,HP+400,BomBoy,14
4,AreaGrab,*,,,HP+400,Twins,15
1,GrabRvng,Z,,,HP+300,Satella,8
1,Snctuary,Z,,,HP+50,Needler,10
2,BusterUp,*,[REG],,AttckMax,CanoDumb,10
1,BugFix,*,,,ChargMax,NightMare,5
3,Invisibl,*,,,Speed+1,,
1,Barr200,W,,,,,
1,LifeAur,U,,,,,
3,AntiDmg,*,,,,,
1,Uninstll,G,,,,,
1,Atk+30,*,,,,,
1,Roll3,R,,CellImage,,,
1,EraseMan,*,,,,,
1,GrndManSP,G,,,,,
1,JudgeMan,*,,,,,
1,ElmntMan,*,,,,,
1,DblBeast,W,,,,,
1,DeltaRay,Z,,,,,
1,Gregar,X,,,,,
