Thiago,,,,,,,
Thiago#6352,,,,Falzar,,,
FOLDER,,,,NAVICUST,,MOD CARDS,
#,Chip Name,Code,Reg/Tag,Program Name,Image Link,Name,MB
1,BgDthThd,V,,SuprArmr,https://cdn.discordapp.com/attachments/537119295721963520/904096801836109824/unknown.png,PlanetMan,40
1,HubBatc,J,,FstBarr,HP+500,Numbers,17
1,DblBeast,W,,Rush,HP+500,Satella,8
1,ElmntMan,*,,,HP+300,Totem,13
1,JudgeMan,*,,,HP+300,,
1,EraseMnSP,K,,,,,
1,EraseMan,*,,,,,
1,GrndManSP,G,,,,,
1,GunDelEX,G,,,,,
1,Uninstll,G,,,,,
2,AntiDmg,*,,,,,
1,LifeAur,U,,,,,
1,Barr200,K,,,,,
2,Invisibl,*,,CellImage,,,
1,BugFix,*,,,,,
1,FullCust,*,[REG],,,,
1,GrabRvng,Z,,,,,
4,AreaGrab,*,,,,,
2,Recov300,J,,,,,
1,HeatDrgn,G,,,,,
1,MachGun1,*,[TAG],,,,
1,Static,G,[TAG],,,,
2,BblStar3,G,,,,,
