Rocku,,,,,,,
Rocku#1556,,,,Falzar,,,
FOLDER,,,,NAVICUST,,MOD CARDS,
#,Chip Name,Code,Reg/Tag,Program Name,Image Link,Name,MB
1,Uninstll,G,,SuprArmr,Link to URL,PlanetMan,40
3,Static,G,,BugStop,HP+400,Slimey,12
1,MachGun1,*,[REG],Rush,ChargMAX,NightMare,5
2,AirSpin1,G,,Custom2,Attack+1,Satella,8
4,AreaGrab,*,[TAG],UnderSht,Attack+1,Totem,13
1,Fanfare,*,,GigFldr1,Speed+1,,
3,Invisibl,*,,,,,
1,AntiNavi,*,,,,,
2,AntiDmg,*,,,,,
1,WindRack,*,,,,,
1,Atk+30,*,,,,,
1,GunDelEX,G,,,,,
1,Otenko,O,,,,,
1,GrndManSP,G,,CellImage,,,
1,EraseMan,*,,,,,
1,JudgeMan,*,[TAG],,,,
1,JudgeMnSP,J,,,,,
1,ElmntMan,*,,,,,
1,DblBeast,W,,,,,
1,HubBatc,J,,,,,
1,Falzar,X,,,,,
