Wintegral,,,,,,,
Winfinity#5935,,,,Falzar,,,
FOLDER,,,,NAVICUST,,MOD CARDS,
#,Chip Name,Code,Reg/Tag,Program Name,Image Link,Name,MB
1,Falzar,X,,UnderSht,https://cdn.discordapp.com/attachments/880198435800744037/912178353270849606/unknown.png,Numbers,17
1,HubBatc,J,,Rush,AttckMAX,TenguMan,34
1,DblBeast,W,,Custom1,ChargMAX,Needler,10
1,CountSP,H,,,SpeedMAX,NightMare,5
1,ElmntMan,*,,,HP+300,Totem,13
1,JudgeMan,*,[TAG],,HP+400,,
1,EraseMan,*,,,HP+500,,
1,GrndManSP,G,,,,,
1,SpoutMnSP,A,,,,,
1,Otenko,O,,,,,
1,GunDelEX,G,,,,,
1,Uninstll,G,,,,,
3,AntiDmg,*,,CellImage,,,
1,LifeAur,U,,,,,
3,Invisibl,*,,,,,
1,BugFix,*,,,,,
2,SloGauge,*,[REG],,,,
4,AreaGrab,*,[TAG],,,,
2,Recov300,J,,,,,
2,MachGun2,G,,,,,
