Dorman ,,,,,,,
Dorman_777#2452,,,,Gregar,,,
FOLDER,,,,NAVICUST,,MOD CARDS,
#,Chip Name,Code,Reg/Tag,Program Name,Image Link,Name,MB
1,ProtoMnSP,B,,SuprArmr,https://cdn.discordapp.com/attachments/807394334667571315/912150700190998600/EXE6_Gregar_01.png,Numbers,17
1,BlastMnSP,B,,UnderSht,AttckMAX,SearchMan,37
1,Bass,F,,Custom1,ChargMAX,Totem,13
1,Uninstll,G,,,HP+400,NightMare,5
1,GrndManSP,G,,,HP+400,Satella,8
1,LifeAur,U,,,HP+400,,
1,Barr200,W,,,,,
1,DblBeast,W,,,,,
1,Gregar,X,,,,,
2,Recov300,Y,,,,,
1,MachGun1,*,,,,,
2,WindRack,*,[REG],,,,
5,AreaGrab,*,[TAG][TAG],CellImage,,,
3,Invisibl,*,,,,,
3,AntiDmg,*,,,,,
1,Atk+30,*,,,,,
1,DblPoint,*,,,,,
1,EraseMan,*,,,,,
1,JudgeMan,*,,,,,
1,ElmntMan,*,,,,,
