,,,,,,CHALLONGE BRACKET
Entrant #,Discord,Name,Version,Setup,,Bracket
1,NONSTOPMOP#1668,Nonstopmop,Gregar,Nonstopmop,,Top Cut
2,playerzero#2208,playerzero,Falzar,playerzero,,PLAYER SCHEDULES
3,Thiago#6352,Thiago,Falzar,Thiago,,Link
4,fireboltbro#9219,fireboltbro,Falzar,fireboltbro,,
5,Rocku#1556,Rocku,Falzar,Rocku,,START DATE
6,Winfinity#5935,Wintegral,Falzar,Wintegral,,Mon Nov 22 2021 09:00:00 GMT+0100 (Central European Standard Time)
7,BlueStar #1988,BlueStar,Gregar,BlueStar,,
8,Dorman_777#2452,Dorman ,Gregar,Dorman ,,END DATE
9,Buster Cannon 🥊#6127,Custer Bannon,Falzar,Custer Bannon,,Mon Dec 13 2021 09:00:00 GMT+0100 (Central European Standard Time)
10,Desmond#1161,des,Gregar,des,,
11,ShironaNep#3074,ShironaNep,Gregar,ShironaNep,,AND REMEMBER:
12,Symes#9999,Symes,Falzar,Symes,,CellImage
13,WeenieWhistle#2551,WeenieWhistle,Gregar,WeenieWhistle,,
14,HonorNite#3819,HonorNite,Falzar,HonorNite,,
15,Alrysc#7506,Alrysc,Gregar,Alrysc,,
16,MasteRioniX.S1X#7335,Master S1X,Falzar,Master S1X,,
17,PachecoElSublime#3818,ElKiras,Gregar,ElKiras,,
18,Uvu ♤#4590,Uvu,Falzar,Uvu,,
19,Chocola#7379,Chocola,Gregar,Chocola,,
