,,,,,,CHALLONGE BRACKET
Entrant #,Discord,Name,Version,Setup,,Bracket
1,playerzero#2208,playerzero,Falzar,playerzero,,
2,Zeii#8739,Zeii - Airspin Adept,Falzar,Zeii - Airspin Adept,,PLAYER SCHEDULES
3,Symes#3239,Symes,Gregar,Symes,,Link
4,Ayo#1260,BitMuffin,Falzar,BitMuffin,,
5,PachecoElSublime#2340,ElKiras,Gregar,ElKiras,,START DATE
6,Uvu ♤#4590,Uvu,Falzar,Uvu,,Mon Jan 25 2021 09:00:00 GMT+0100 (Central European Standard Time)
7,Joey☆Kobalt#1618,Joey☆Kobalt,Falzar,Joey☆Kobalt,,
8,Coyote#1303,Coyote,Falzar,Coyote,,END DATE
9,Thiago#6352,Thiago,Gregar,Thiago,,Mon Feb 08 2021 09:00:00 GMT+0100 (Central European Standard Time)
10,0 Mega#2858,Tchomp,Gregar,Tchomp,,
11,enduring ray#1144,enduring ray,Falzar,enduring ray,,AND REMEMBER:
12,Desmond.EXE#1161,desmond,Gregar,desmond,,CellImage
13,pppablo#6818,pppablo,Gregar,pppablo,,
14,SoulXCross#5658,oOSpiderManOo,Gregar,oOSpiderManOo,,
15,Neryth#3411,Neryth,Falzar,Neryth,,
16,tncargil#2506,tncargil,Gregar,tncargil#2506,,
17,Salad#7884,Salad,Falzar,Salad,,
18,Trylo#1662,Shadow,Falzar,Shadow,,
,,,,,,
