Neryth,,,,,
Neryth#3411,,,,Falzar,
FOLDER,,,,NAVICUST,
#,Chip Name,Code,Reg/Tag,Program Name,Link
1,ElmntMnSP,E,,Rush,Link to URL
2,Recov300,J,,BugStop,ChargMAX
1,MetrKnuk,N,,Beat,HP+400
1,LifeAur,U,,SuprArmr,Attack+1
1,Snctuary,Z,,Custom1,Attack+1
1,WindRack,*,,UnderSht,Attack+1
4,PanlGrab,*,,Custom2,
5,AreaGrab,*,,,
2,Geddon,*,,,
2,SloGauge,*,,,
1,BusterUp,*,,CellImage,
1,AntiNavi,*,,,
3,AntiSwrd,*,,,
1,AntiRecv,*,,,
1,SpoutMan,*,[REG],,
1,EraseMan,*,,,
1,JudgeMan,*,,,
1,ElmntMan,*,,,
