GT 210,,,,,
GT 210#1981,,,,Gregar,
FOLDER,,,,NAVICUST,
#,Chip Name,Code,Reg/Tag,Program Name,Link
1,SpoutMnSP,A,,AirShoes,https://drive.google.com/file/d/1pb9Yuwie_jh_r7H1hrkCTQoYvmyReQ4C/view?usp=sharing
2,Snake,M,[TAG],Custom2,HP+50
1,SumnBlk2,O,,UnderSht,
1,GunDelS3,N,,UnderSht,
1,Uninstll,G,,UnderSht,
4,AreaGrab,*,[TAG],SuprArmr,
1,LifeAur,U,,SuprArmr,
1,MachGun2,S,,UnderSht,
1,JudgeMan,*,,Millions,
1,GrabBnsh,S,,UnderSht,
1,Barr200,U,,Millions,
1,SlashMnSP,S,,Millions,
1,BugFix,*,,Millions,
2,WindRack,*,,CellImage,
2,AntiDmg,*,,,
3,Invisibl,*,,,
2,Geddon,*,[REG],,
1,EraseMan,*,,,
1,ColForce,Q,,,
1,MachGun1,*,,,
1,Muramasa,M,,,
