,Sheriel,,,Master S1X,,,Mauldren,,,playerzero,,,weenie no whistle,,,LowTierGar,,,Dorman,,,GT 210,,,Salad,,,Nonstopmop,,,2Elusive,,,osiahene,,,#REF!,,,Josue,,
Sheriel,,,,2,-,0,2,-,0,2,-,0,2,-,0,2,-,1,2,-,1,1,-,2,2,-,0,2,-,1,0,-,2,2,-,0,2,-,0,0,-,2
Master S1X,,,,,,,1,-,2,2,-,0,2,-,1,,-,,1,-,2,1,-,2,2,-,0,,-,,0,-,2,,-,,,-,,0,-,2
Mauldren,,,,,,,,,,2,-,1,2,-,1,2,-,0,2,-,0,0,-,2,2,-,1,2,-,1,0,-,2,2,-,0,2,-,0,0,-,2
playerzero,,,,,,,,,,,,,1,-,2,0,-,2,0,-,2,0,-,2,0,-,2,,-,,0,-,2,,-,,,-,,0,-,2
weenie no whistle,,,,,,,,,,,,,,,,,-,,1,-,2,0,-,2,,-,,2,-,1,0,-,2,,-,,,-,,,-,
LowTierGar,,,,,,,,,,,,,,,,,,,2,-,1,2,-,1,1,-,2,,-,,0,-,2,,-,,2,-,1,,-,
Dorman,,,,,,,,,,,,,,,,,,,,,,1,-,2,2,-,1,2,-,0,0,-,2,,-,,,-,,2,-,0
GT 210,,,,,,,,,,,,,,,,,,,,,,,,,2,-,0,2,-,0,1,-,2,2,-,1,2,-,0,2,-,0
Salad,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-,1,1,-,2,2,-,0,,-,,0,-,2
Nonstopmop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-,2,0,-,2,,-,,,-,
2Elusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-,0,2,-,0,,-,
osiahene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,0,-,2
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,
Josue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
