,,,,,,CHALLONGE BRACKET
Entrant #,Discord,Name,Version,Setup,,Bracket
1,MasteRioniX.S1X#7335,Master S1X,Falzar,Master S1X,,
2,Thiago#6352,Thiago,Falzar,Thiago,,PLAYER SCHEDULES
3,ShironaNep#3074,ShironaNep,Falzar,ShironaNep,,Link
4,HonorNite#3819,HonorNite,Gregar,HonorNite,,
5,BlueStar#1988,BlueStar,Gregar,BlueStar,,START DATE
6,jojosue#9988,Josue,Falzar,Josue,,Mon Feb 07 2022 09:00:00 GMT+0100 (Central European Standard Time)
7,Rocku#1556,Rocku,Falzar,Rocku,,
8,Salad#7884,Salad,Falzar,Salad,,END DATE
9,Neryth#3411,Neryth,Falzar,Neryth,,Mon Feb 28 2022 09:00:00 GMT+0100 (Central European Standard Time)
10,Symes#9999,Symes,Gregar,Symes,,
11,nugget#4202,Diamond Kite,Gregar,Diamond Kite,,AND REMEMBER:
12,playerzero#2208,playerzero,Falzar,playerzero,,CellImage
13,WeenieWhistle#2551,WeenieWhistle,Gregar,WeenieWhistle,,
14,SoulXCross#5658,SoulXCross,Gregar,SoulXCross,,
15,Tri#2270,Isabelle Drillarm Witch ,Falzar,Isabelle Drillarm Witch ,,
16,Dorman_777#2452,Dorman,Gregar,Dorman,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
