,Master S1X,,,Thiago,,,ShironaNep,,,HonorNite,,,BlueStar,,,Josue,,,Rocku,,,Salad,,,Neryth,,,Symes,,,Diamond Kite,,,playerzero,,,#REF!,,,WeenieWhistle,,
Master S1X,,,,2,-,0,2,-,0,2,-,0,2,-,0,2,-,1,2,-,1,1,-,2,2,-,0,2,-,1,0,-,2,2,-,0,2,-,0,0,-,2
Thiago,,,,,,,1,-,2,2,-,0,2,-,1,,-,,1,-,2,1,-,2,2,-,0,,-,,0,-,2,,-,,,-,,0,-,2
ShironaNep,,,,,,,,,,2,-,1,2,-,1,2,-,0,2,-,0,0,-,2,2,-,1,2,-,1,0,-,2,2,-,0,2,-,0,0,-,2
HonorNite,,,,,,,,,,,,,1,-,2,0,-,2,0,-,2,0,-,2,0,-,2,,-,,0,-,2,,-,,,-,,0,-,2
BlueStar,,,,,,,,,,,,,,,,,-,,1,-,2,0,-,2,,-,,2,-,1,0,-,2,,-,,,-,,,-,
Josue,,,,,,,,,,,,,,,,,,,2,-,1,2,-,1,1,-,2,,-,,0,-,2,,-,,2,-,1,,-,
Rocku,,,,,,,,,,,,,,,,,,,,,,1,-,2,2,-,1,2,-,0,0,-,2,,-,,,-,,2,-,0
Salad,,,,,,,,,,,,,,,,,,,,,,,,,2,-,0,2,-,0,1,-,2,2,-,1,2,-,0,2,-,0
Neryth,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-,1,1,-,2,2,-,0,,-,,0,-,2
Symes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-,2,0,-,2,,-,,,-,
Diamond Kite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-,0,2,-,0,,-,
playerzero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,0,-,2
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,
WeenieWhistle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
