Django,,,,,
Yorudan#8559,,,,Gregar,
FOLDER,,,,NAVICUST,
#,Chip Name,Code,Reg/Tag,Program Name,Link
1,RskyHny3,D,,SuprArmr,https://imgur.com/C6YRtrX
1,JustcOne,J,,AirShoes,HP+400
1,ElecDrgn,A,,BugStop,HP+300
3,GunDelS3,N,[REG][TAG],Rush,AttckMAX
1,Uninstll,G,,,ChargMAX
1,SumnBlk2,O,,,
1,LifeAur,U,,,
1,ColForce,Q,,,
1,ProtoMnSP,B,,,
1,MachGun1,*,,CellImage,
2,WindRack,*,,,
4,AreaGrab,*,[TAG],,
1,GrndManSP,G,,,
2,Geddon,*,,,
3,Invisibl,*,,,
2,AntiDmg,*,,,
1,WhiCapsl,*,,,
1,EraseMan,*,,,
1,JudgeMan,*,,,
1,ElmntMan,*,,,
