,,,,,,,CHALLONGE BRACKET
Entrant #,,Discord,Name,Version,Setup,,Bracket
1,,aht#3324,a4average,Falzar,a4average,,
2,,Passbyword#7729,Passbyword,Falzar,Passbyword,,PLAYER SCHEDULES
3,,ChinaTV#4720,ChinaTV,Falzar,ChinaTV,,Link
4,,Yaw#9721,osiahene,Gregar,osiahene,,
5,⭐,TheAlphaPlayer#4201,Alpha,Gregar,Alpha,,START DATE
6,,Soup#7517,Soup,Gregar,Soup,,Mon Feb 27 2023 09:00:00 GMT+0100 (Central European Standard Time)
7,,Kamizo Origami#3291,Kamizo Origami,Falzar,Kamizo Origami,,
8,⭐,playerzero#2208,playerzero,Falzar,playerzero,,END DATE
9,,LordEgil#3899,LordEgil,Gregar,LordEgil,,Mon Mar 13 2023 08:00:00 GMT+0100 (Central European Standard Time)
10,,👑Darkgaia👑#4349,Darkgaia,Falzar,Darkgaia,,
11,,ProjectPlayer015#4748,Rockin,Falzar,Rockin,,AND REMEMBER:
12,⭐,Rocku#1556,Rocku,Falzar,Rocku,,CellImage
13,,Not3rdPerson#7906,Not3rdPerson,Gregar,Not3rdPerson,,
14,,Abdulai Sallah#2015,Mr.President,Falzar,Mr.President,,
15,,Soren #0229,Soren,Falzar,Soren,,
16,⭐,HonorNite#3819,HonorNite,Gregar,HonorNite,,
17,,Makuto66 #4633,Makuto,Falzar,Makuto,,
18,,Thiago#6352,Thiago,Falzar,Thiago,,
19,,Symes#1970,Symes,Falzar,Symes,,
20,,davidvvv#3288,davidvvv,Falzar,davidvvv,,
21,,RockHxH#4779,hunter,Falzar,hunter,,
22,⭐,Salad#7884,Salad,Falzar,Salad,,
23,⭐,Neryth#3411,Neryth,Falzar,Neryth,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
