Chocola,,,,,,,,,
Chocola#6973,,,,,,Falzar,,,
FOLDER,,,,NAVICUST,,SIDEDECK,,,
#,Chip Name,Code,Reg/Tag,Program Name,Link,#,Chip Name,Code,Reg/Tag
1,WindRack,*,,UnderShirt,Navi Customizer,1,DblPoint,*,
1,Muramasa,M,,SuperArmor,HP+500,1,Atk+30,*,
2,ElecDrgn,L,,Custom1,HP+400,1,WindRack,*,
2,Recov300,J,,,HP+300,1,PoisSeed,*,
2,AreaGrab,*,,,AttackMAX,1,AreaGrab,*,
1,GrabRvng,Z,,,ChargeMAX,1,BlastMan,*,
1,Snctuary,Z,,,,,,,
2,SloGauge,*,,,,,,,
1,FullCust,*,REG,,,,,,
1,BugFix,*,,,,,,,
3,Invisibl,*,,,,,,,
1,BblWrap,Z,,,,,,,
1,LifeAur,U,,,,,,,
1,AntiNavi,*,,,,,,,
2,AntiDmg,*,,,,,,,
1,Uninstll,L,,CellImage,,,,,
1,MachGun1,*,,,,,,,
1,EraseMan,*,,,,,,,
1,JudgeMan,*,TAG,,,,,,
1,AreaGrab,*,TAG,,,,,,
1,ElmntMan,*,,,,,,,
1,Roll3,R,,,,,,,
1,BgDthThd,V,,,,,,,
