momobeta,,,,,,,,,
momobeta#0973,,,,,,Falzar,,,
FOLDER,,,,NAVICUST,,SIDEDECK,,,
#,Chip Name,Code,Reg/Tag,Program Name,Link,#,Chip Name,Code,Reg/Tag
1,SuprVulc,V,,AttckMAX,https://media.discordapp.net/attachments/869363907297415208/870783777763360818/BN6_Falzar_navicust.png,1,AntiDmg,*,
2,PoisSeed,*,,BugStop,Charge+1,1,AntiDmg,*,
2,WindRack,*,,Custom1,Charge+1,1,Lance,*,
2,VDoll,*,,Custom2,Charge+1,1,Boomer,T,
3,AreaGrab,*,TAG,Rush,HP+400,1,HeatDrgn,T,
1,Snctuary,Z,,UnderSht,,1,JudgeMan,*,
1,FstGauge,*,REG,SuprArmr,,,,,
1,FullCust,*,,,,,,,
3,Invisibl,*,,,,,,,
1,LifeAur,U,,,,,,,
2,ElemTrap,*,,,,,,,
2,AntiDmg,*,,,,,,,
2,WhiCapsl,*,,CellImage,,,,,
1,Atk+30,*,,,,,,,
1,DblPoint,*,,,,,,,
1,ProtoMan SP,B,,,,,,,
1,EraseMan,*,TAG,,,,,,
1,BlastMan SP,B,,,,,,,
1,Colonel SP,C,,,,,,,
1,BassAnly,F,,,,,,,
