M-Den,,,,,,,,,
M-Den#1296,,,,,,Falzar,,,
FOLDER,,,,NAVICUST,,SIDEDECK,,,
#,Chip Name,Code,Reg/Tag,Program Name,Link,#,Chip Name,Code,Reg/Tag
1,Elementman,*,,Foldrpck1,Attack+1,1,Fullcust,*,[REG]
3,Bblstr2,C,,Bugstop,Attack+1,1,Pnlreturn,*,
2,Dolthndr2,C,,Suprarmor,Chargmax,1,Attack+30,*,
1,ColonelSP,C,,Custom1,HP+500,1,Antiswrd,*,
2,Firebrn3,D,,,HP+300,1,Barrier200,U,
3,Rskyhny3,D,,,,1,Groundman,*,
1,Crossdvd,D,,,,,,,
1,Lifeaura,U,,,,,,,
4,Areagrab,*,,,,,,,
3,Invis,*,,CellImage,,,,,
1,Elemntrap,*,,,,,,,
1,Antinavi,*,,,,,,,
3,Antidmg,*,,,,,,,
1,Tenguman,*,[REG],,,,,,
1,ChargmanSP,C,,,,,,,
1,Eraseman,*,,,,,,,
1,Judgeman,*,,,,,,,
