Ghiaccio_98,,,,,,,,,
Ghiaccio_98#4810,,,,,,Gregar,,,
FOLDER,,,,NAVICUST,,SIDEDECK,,,
#,Chip Name,Code,Reg/Tag,Program Name,Link,#,Chip Name,Code,Reg/Tag
2,BblStar1,B,,AirShoes,https://cdn.discordapp.com/attachments/715785790260510740/817126207958024212/navi_customizer.png,1,GunDelS3,Q,
2,DolThdr3,B,,Custom1,ChargMAX,1,Uninstll,G,
2,MachGun1,*,,Rush,AttckMAX,2,TankCan3,B,
2,WindRack,*,,UnderSht,HP+500,1,HeatDrgn,G,
2,FireHit3,B,TAG,BugStop,,,,,
2,HiBoomer,B,TAG,SuprArmr,,1,GrndMan,*,
3,AreaGrab,*,,,,,,,
2,Invisibl,*,,,,,,,
1,AntiNavi,*,,,,,,,
2,AntiDmg,*,,,,,,,
2,WhiCapsl,*,REG,,,,,,
1,ProtoMnSP,B,,CellImage,,,,,
1,EraseMan,*,,,,,,,
1,BlastMnSP,B,,,,,,,
1,JudgeMan,*,,,,,,,
1,ElmntMan,*,,,,,,,
1,ColForce,Q,,,,,,,
1,Barr200,U,,,,,,,
1,LifeAur,U,,,,,,,
