Alrysc,,,,,,,,,
Alrysc#7506,,,,,,Gregar,,,
FOLDER,,,,NAVICUST,,SIDEDECK,,,
#,Chip Name,Code,Reg/Tag,Program Name,Link,#,Chip Name,Code,Reg/Tag
2,WindRack,*,,BugStop,https://imgur.com/a/7ZIKw0M,1,MachGun1,*,[REG]
1,TrplShot,*,,GigFldr1,ChargMAX,1,AntiNavi,*,
1,SumnBlk3,Z,,Custom1,HP+400,1,AntiSwrd,*,
1,FireSwrd,Z,,SuprArmr,Attack+1,1,PnlRetrn,*,
1,Lance,*,,UnderSht,Attack+1,1,AntiRecv,*,
4,AreaGrab,*,,Rush,Attack+1,1,Spoutman,*,
1,GrabRvng,Q,,,Attack+1,,,,
1,Snctuary,Z,,,,,,,
1,FullCust,*,[REG],,,,,,
3,Invisibl,*,,CellImage,,,,,
1,BblWrap,Z,,,,,,,
1,LifeAur,U,,,,,,,
2,MagCoil,*,,,,,,,
3,AntiDmg,*,,,,,,,
1,EraseMan,*,,,,,,,
1,TenguMan,*,,,,,,,
1,BlastMan,*,,,,,,,
1,JudgeMan,*,,,,,,,
1,ElmntMan,*,,,,,,,
1,DeltaRay,Z,,,,,,,
1,ColForce,Q,,,,,,,
