Quiz King Symes,,,,,,,,,
Symes#1337,,,,,,Falzar,,,
FOLDER,,,,NAVICUST,,SIDEDECK,,,
#,Chip Name,Code,Reg/Tag,Program Name,Link,#,Chip Name,Code,Reg/Tag
2,BblStar3,G,,GigFldr1,ASASDSADSADSADA,1,SloGauge,*,
1,Barr200,K,,SuprArmr,ChargMAX,1,AirSpin3,G,TAG
1,LifeAur,U,,Custom1,HP+500,1,HeatDrgn,G,TAG
1,MachGun1,*,TAG,FstBarr,HP+400,1,AreaGrab,*,
1,WindRack,*,,Rush,,1,Geddon,*,
1,BugFix,*,,,,1,JudgeMan,*,
1,SloGauge,*,,,,,,,
3,Invisibl,*,,,,,,,
2,AreaGrab,*,,,,,,,
1,Geddon,*,,,,,,,
3,AntiDmg,*,,CellImage,,,,,
1,FullCust,*,REG,,,,,,
2,Recov300,J,,,,,,,
1,Static,G,TAG,,,,,,
1,Uninstll,G,,,,,,,
1,EraseMnSP,K,,,,,,,
1,GrndManSP,G,,,,,,,
1,EraseMan,*,,,,,,,
1,JudgeMnSP,J,,,,,,,
1,ElmntMan,*,,,,,,,
1,HubBatc,J,,,,,,,
1,BgDthThd,V,,,,,,,
1,Muramasa,M,,,,,,,
