Salad,,,,,,,,,
Salad#7884,,,,,,Falzar,,,
FOLDER,,,,NAVICUST,,SIDEDECK,,,
#,Chip Name,Code,Reg/Tag,Program Name,Link,#,Chip Name,Code,Reg/Tag
3,ElcPuls2,A,[TAG],BugStop,HP+400,1,AntiSwrd,*,
3,WindRack,*,[TAG],Custom1,HP+400,1,Invisibl,*,
3,RskyHny3,A,,Custom1,ChargMax,1,BblWrap,Z,
1,AquaSwrd,A,,Beat,,1,Atk+30,*,
1,FireHit3,A,,SuprArmr,,1,WhiCapsl,*,
2,ElecDrgn,A,,Shield,,1,GrndMan,*,
1,GrabRvng,Z,,UnderSht,,,,,
1,Snctuary,Z,,,,,,,
2,FstGauge,*,[REG],,,,,,
1,FullCust,*,,,,,,,
2,Invisibl,*,,,,,,,
1,LifeAur,U,,,,,,,
2,AntiDmg,*,,CellImage,,,,,
1,AntiNavi,*,,,,,,,
1,SpoutMnSP,A,,,,,,,
1,GrndManSP,G,,,,,,,
1,EraseMan,*,,,,,,,
1,JudgeMan,*,,,,,,,
1,ElmntMan,*,,,,,,,
1,HubBatc,J,,,,,,,
