Dorman SP,,,,,,,,,
Dorman_777#2452,,,,,,Gregar,,,
FOLDER,,,,NAVICUST,,SIDEDECK,,,
#,Chip Name,Code,Reg/Tag,Program Name,Link,#,Chip Name,Code,Reg/Tag
1,BugFix,*,,SuprArmr,https://cdn.discordapp.com/attachments/805276158773690388/871529829537837076/BN6_Gregar_01.png,1,SloGauge,*,
1,GrndManSP,G,,UnderSht,HP+400,1,Snctuary,Z,
1,BblStar3,R,,Custom1,HP+400,1,HeatDrgn,R,
1,DolThdr3,R,,,HP+400,1,AntiNavi,*,
1,Tornado,R,TAG,,AttckMAX,1,HolyPanl,*,
1,Meteors,R,,,ChargMAX,1,JudgeMan,*,
1,Atk+30,*,,,,,,,
1,Uninstll,R,,,,,,,
3,Invisibl,*,,,,,,,
4,AreaGrab,*,,,,,,,
1,ElmntMan,*,,,,,,,
1,EraseMan,*,,,,,,,
2,WindRack,*,,,,,,,
1,LifeAur,U,,CellImage,,,,,
1,Bass,F,,,,,,,
1,SloGauge,*,REG,,,,,,
1,Roll3,R,,,,,,,
1,ProtoMnSP,B,,,,,,,
3,AntiDmg,*,,,,,,,
2,Recov300,Y,,,,,,,
1,AirSpin1,R,,,,,,,
