StupidStudiosN,,,,,,,,,
StupidStudiosN#1449,,,,,,Falzar,,,
FOLDER,,,,NAVICUST,,SIDEDECK,,,
#,Chip Name,Code,Reg/Tag,Program Name,Link,#,Chip Name,Code,Reg/Tag
1,Meteors,R,,Beat,NaviCust,1,Snctuary,Z,
1,LifeAur,U,,BugStop,HP+400,1,BugFix,*,
1,MetrKnuk,N,,UnderSht,SpeedMAX,1,ElemTrap,*,
1,Atk+30,*,,SuprArmr,ChargMAX,1,GrabRvng,Q,
1,ElmntMnSP,E,,Rush,Attack+1,1,AntiNavi,*,
1,ElmntMnEX,E,,Custom2,,1,TenguMan,*,
1,ElmntMan,*,[REG],,,,,,
1,EraseMan,*,,,,,,,
1,JudgeMan,*,,,,,,,
1,Uninstll,R,,,,,,,
1,DblPoint,*,,,,,,,
1,AssnSwrd,R,,CellImage,,,,,
2,BblStar3,R,,,,,,,
3,Invisibl,*,,,,,,,
3,AntiDmg,*,,,,,,,
4,RskyHny2,R,,,,,,,
1,WindRack,*,,,,,,,
1,MachGun1,*,,,,,,,
4,AreaGrab,*,,,,,,,
