Flop Tart,,,,,,,,,
Flop Tart#6969,,,,,,Falzar,,,
FOLDER,,,,NAVICUST,,SIDEDECK,,,
#,Chip Name,Code,Reg/Tag,Program Name,Link,#,Chip Name,Code,Reg/Tag
1,MetrKnuk,N,,SuprArmr,Link to URL,2,PoisSeed,*,
1,NeoVari,N,,Custom2,Attack+1,1,WhiCapsl,*,
1,SuprVulc,V,,Shield,Attack+1,2,AirHocky,N,
3,Static,V,,UnderSht,Attack+1,,,,
3,BblStar2,V,,Humor,ChargMAX,,,,
3,DolThdr3,V,,,HP+500,1,BlastMan,*,
2,WhiCapsl,*,,,,,,,
1,AirHocky,N,,,,,,,
3,AreaGrab,*,,,,,,,
1,WindRack,*,,CellImage,,,,,
1,EraseMan,*,,,,,,,
1,JudgeMan,*,,,,,,,
1,ElmntMan,*,,,,,,,
1,BlastMan,*,,,,,,,
1,LifeAur,U,,,,,,,
3,AntiDmg,*,,,,,,,
3,Invisibl,*,,,,,,,
