ShironaNep,,,,,,,,,
ShironaNepSP#3074,,,,,,Gregar,,,
FOLDER,,,,NAVICUST,,SIDEDECK,,,
#,Chip Name,Code,Reg/Tag,Program Name,Link,#,Chip Name,Code,Reg/Tag
1,FireBrn3,E,,BugStop,AttckMAX,1,MachGun1,*,
3,ElcPuls2,E,,UnderSht,ChargMAX,2,Recov300,J,
1,CornSht2,E,TAG,Custom1,HP+50,1,Snctuary,Z,
2,MachGun2,E,,SuprArmr,HP+400,1,Uninstll,L,
1,ElecSwrd,E,,FlotShoe,,,,,
2,WindRack,*,REG,AntiDmg,,1,BlastMan,*,
3,AreaGrab,*,,,,,,,
1,GrabRvng,Q,,,,,,,
1,SloGauge,*,,,,,,,
3,Invisibl,*,,,,,,,
1,Barr200,U,,,,,,,
1,LifeAur,U,,,,,,,
3,AntiDmg,*,,CellImage,,,,,
1,WhiCapsl,*,TAG,,,,,,
1,EraseMan,*,,,,,,,
1,JudgeMan,*,,,,,,,
1,ElmntMan,*,,,,,,,
1,ElmntMnEX,E,,,,,,,
1,ElmntMnSP,E,,,,,,,
1,ColForce,Q,,,,,,,
