WeenieWhistle,,,,,,,,,
WeenieWhistle#0001,,,,,,Falzar,,,
FOLDER,,,,NAVICUST,,SIDEDECK,,,
#,Chip Name,Code,Reg/Tag,Program Name,Link,#,Chip Name,Code,Reg/Tag
1,ElcPuls1,J,,SuprArmr,Link to URL,2,BblStar2,V,
1,ElcPuls2,J,,FstBarr,HP+500,2,ElecDrgn,V,
1,ElcPuls3,J,,UnderSht,HP+400,1,Snctuary,Z,
1,Recov300,J,,BugStop,,,,,
1,JudgeMnSP,J,,Custom2,,,,,
1,HubBatc,J,,Custom1,,1,BlastMan,*,
1,Anubis,P,,,,,,,
1,GrabRvng,Z,,,,,,,
1,LifeAur,U,,,,,,,
1,SuprVulc,V,,,,,,,
2,PoisSeed,*,,,,,,,
2,WindRack,*,,,,,,,
2,PanlGrab,*,[Tag] [Tag],,,,,,
3,AreaGrab,*,,,,,,,
2,FstGauge,*,[Reg],CellImage,,,,,
2,Invisibl,*,,,,,,,
2,AntiDmg,*,,,,,,,
1,WhiCapsl,*,,,,,,,
1,Atk+30,*,,,,,,,
1,EraseMan,*,,,,,,,
1,BlastMan,*,,,,,,,
1,ElmntMan,*,,,,,,,
