Fátima,,,,,,,,,
Cutitie#1303,,,,,,Gregar,,,
FOLDER,,,,NAVICUST,,SIDEDECK,,,
#,Chip Name,Code,Reg/Tag,Program Name,Link,#,Chip Name,Code,Reg/Tag
1,GunDelS3,Q,[Tag],Rush,Link to URL,1,FullCust,*,[Reg]
2,RskyHny3,M,,BugStop,AttckMAX,1,Snctuary,Z,
2,MachGun3,M,,SuprArmr,ChargMAX,1,AreaGrab,*,
2,WindRack,*,[Reg] [Tag],AirShoes,HP+500,1,PnlRetrn,*,
1,Muramasa,M,,UnderSht,,1,Invisibl,*,
2,Recov300,J,,Custom1,,1,DustMan,*,
3,AreaGrab,*,,,,,,,
1,GrabBnsh,M,,,,,,,
2,HolyPanl,*,,,,,,,
1,SloGauge,*,,,,,,,
2,Invisibl,*,,,,,,,
1,LifeAur,U,,,,,,,
2,AntiDmg,*,,,,,,,
2,WhiCapsl,*,,CellImage,,,,,
1,ProtoMnSP,B,,,,,,,
1,BlastMnSP,B,,,,,,,
1,EraseMan,*,,,,,,,
1,JudgeMan,*,,,,,,,
1,ElmntMan,*,,,,,,,
1,ColForce,Q,,,,,,,
