Thiago,,,,,,,,,
Thiago#6352,,,,,,Falzar,,,
FOLDER,,,,NAVICUST,,SIDEDECK,,,
#,Chip Name,Code,Reg/Tag,Program Name,Link,#,Chip Name,Code,Reg/Tag
1,BgDthThd,V,,SuprArmr,https://cdn.discordapp.com/attachments/537119295721963520/870496639519948830/BN6_Falzar_1627612952204.png,1,AreaGrab,*,
1,HubBatc,J,,GigFldr1,HP+400,1,AirSpin1,G,
1,ElmntMan,*,,FstBarr,HP+400,1,WoodDrgn,G,
1,JudgeMan,*,,BugStop,,1,Muramasa,M,
1,EraseMnSP,K,,Rush,,1,Snctuary,Z,
1,EraseMan,*,,Beat,,1,GrndMan,*,
1,TenguMan,*,[tag],,,,,,
1,Uninstll,G,,,,,,,
2,AntiDmg,*,,,,,,,
1,LifeAur,U,,,,,,,
1,Barr200,K,,,,,,,
2,Invisibl,*,,,,,,,
1,FullCust,*,[reg],,,,,,
2,SloGauge,*,,,,,,,
1,Geddon,*,,CellImage,,,,,
1,GrabRvng,Z,,,,,,,
4,AreaGrab,*,,,,,,,
2,Recov300,J,,,,,,,
1,HeatDrgn,G,,,,,,,
1,WindRack,*,,,,,,,
1,MachGun1,*,[tag],,,,,,
2,BblStar3,G,,,,,,,
