,,,,,,CHALLONGE BRACKET
Entrant #,Discord,Name,Version,Setup,,Bracket
1,Chocola#6973,Chocola,Falzar,Chocola,,
2,NONSTOPMOP#1668,Nonstopmop,Falzar,Nonstopmop,,
3,Ablen#5010,Ablen,Gregar,Ablen,,PLAYER SCHEDULES
4,Pie Burritos#6623,Pie Burritos,Falzar,Pie Burritos,,Link
5,ShironaNepSP#3074,ShironaNep,Gregar,ShironaNep,,
6,WeenieWhistle#0001,WeenieWhistle,Falzar,WeenieWhistle,,START DATE
7,ByrneBaby#8008,ByrneBaby,Gregar,ByrneBaby,,Mon Aug 02 2021 09:00:00 GMT+0200 (Central European Summer Time)
8,Cutitie#1303,Fátima,Gregar,Fátima,,
9,Thiago#6352,Thiago,Falzar,Thiago,,END DATE
10,momobeta#0973,momobeta,Falzar,momobeta,,Sun Aug 08 2021 09:00:00 GMT+0200 (Central European Summer Time)
11,M-Den#1296,M-Den,Falzar,M-Den,,
12,BlueStar #1988,BlueStar,Gregar,BlueStar,,AND REMEMBER:
13,kuriboh#3024,Kuriboh,Falzar,Kuriboh,,CellImage
14,Ghiaccio_98#4810,Ghiaccio_98,Gregar,Ghiaccio_98,,
15,Alrysc#7506,Alrysc,Gregar,Alrysc,,
16,Symes#1337,Quiz King Symes,Falzar,Quiz King Symes,,
17,Salad#7884,Salad,Falzar,Salad,,
18,Dorman_777#2452,Dorman SP,Gregar,Dorman SP,,
19,StupidStudiosN#1449,StupidStudiosN,Falzar,StupidStudiosN,,
20,EasyA#9687,EasyA,Gregar,EasyA,,
21,Flop Tart#6969,Flop Tart,Falzar,Flop Tart,,
